Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Rank,URL
K.Hunt,RB,KC,0,401,137,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,watch?v=lhk1tV3BVVg
R.Succop,K,TEN,0,0,0,0,0,0,10,1,8,0,0,0,0,0,0,0,0,0,0,0,1,
T.Brady,QB,NE,1092,15,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,watch?v=uR97FUGTTMs
M.Bryant,K,ATL,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,2,
K.Williams,DB,ARI,0,35,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,watch?v=ImoXcrqnu7Q
G.Zuerlein,K,LA,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,2,
D.Lawrence,DE,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,watch?v=Sz09W7wzx8A
C.Jones,DT,KC,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,watch?v=1g75L6R5os8
T.Gurley,RB,LA,0,241,140,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,watch?v=eVc3tVAUluo
A.Rodgers,QB,GB,967,52,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,watch?v=725IQmhG6DU
W.Lutz,K,NO,0,0,0,0,0,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,4,
A.Smith,QB,KC,774,33,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,watch?v=--UiM8-Acg4
T.Suggs,OLB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,watch?v=oIyGdNnaPSk
J.Myers,K,JAX,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,5,
C.Campbell,DE,JAX,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,5,watch?v=JHTxq-va164
R.Kerrigan,OLB,WAS,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5,0,0,0,0,0,0,5,watch?v=r_BbFkwCFb0
G.Tavecchio,K,OAK,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,6,
G.Gano,K,CAR,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,6,
T.Siemian,QB,DEN,709,45,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,watch?v=uRZDTJuba-M
D.Prescott,QB,DAL,689,64,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,watch?v=6XYmGXIv6uk
S.Gostkowski,K,NE,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,8,
M.Prater,K,DET,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,8,
M.Stafford,QB,DET,678,56,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,watch?v=5gQIC4v-kLc
J.Agnew,DEF,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,watch?v=UnsLhXC3SBs
G.Quin,FS,DET,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,watch?v=fX33QrEebvQ
C.Jones,LB,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,9,watch?v=QQND-vGaMmg
Y.Ngakoue,DE,JAX,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9,watch?v=V-D0scvtNic
C.Thompson,RB,WAS,0,119,231,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,watch?v=YPP5YxRpwFc
C.Wentz,QB,PHI,816,83,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,watch?v=1Xbq3-rQPl0
