Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Punting_i20,Punting_Yards
T.Brady,QB,NE,1959,21,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
D.Lewis,RB,NE,0,151,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Burkhead,RB,NE,0,18,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Hogan,WR,NE,0,17,307,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.White,RB,NE,0,99,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Gillislee,RB,NE,0,290,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B.Cooks,WR,NE,0,10,472,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Gronkowski,TE,NE,0,0,401,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Amendola,WR,NE,0,0,307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Andrews,C,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.McCourty,FS,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S.Gostkowski,K,NE,0,0,0,0,0,0,13,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Allen,P,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1108
D.Harris,LB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Guy,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Flowers,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0
D.Hightower,MLB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
A.Branch,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Marsh,OLB,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
M.Brown,DT,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K.Van Noy,OLB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
M.Butler,CB,NE,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
J.Richards,SS,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S.Gilmore,CB,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A.Butler,DT,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.Chung,SS,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Wise,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
E.Rowe,CB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Smith,QB,KC,1637,121,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Hunt,RB,KC,0,630,255,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C.West,RB,KC,0,23,72,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Thomas,WR,KC,0,4,83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Hill,WR,KC,0,15,390,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
T.Kelce,TE,KC,0,7,390,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Wilson,WR,KC,0,6,158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Harris,TE,KC,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Conley,WR,KC,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Santos,,KC,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Colquitt,P,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1119
R.Miller,DT,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Mitchell,CB,KC,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
P.Gaines,CB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Murray,CB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Bailey,DE,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
D.Johnson,ILB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Peters,CB,KC,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
F.Zombo,OLB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
R.Parker,FS,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Berry,SS,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Ford,OLB,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
J.Houston,OLB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0
B.Logan,NT,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D.Sorensen,SS,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
